ID,number of incoming elements,duration of download (in ms),duration for reloading nodes (in ms),number of reloaded nodes,number of published elements for subject [all],number of published elements for subject [routing],duration for Filtering for subject [routing] (in ms),number of published elements for subject [search],duration for Filtering for subject [search] (in ms)
2022-03-03T14:15:00+01:00,7767,128,6848,3158,10925,1672,12,30,8
2022-03-03T14:15:23+01:00,2500,91,2654,3121,5621,2277,11,8,5
2022-03-03T14:16:32+01:00,2412,94,8631,4500,6912,4910,24,4,5
2022-03-03T14:17:29+01:00,2616,98,5812,3390,6006,2546,11,6,4
2022-03-03T14:18:29+01:00,1751,71,10062,933,2684,1789,11,10,3
2022-03-03T14:19:46+01:00,2867,96,15405,1334,4201,1743,17,10,2
2022-03-03T14:20:23+01:00,2276,88,6705,938,3214,931,8,23,3
2022-03-03T14:21:22+01:00,4125,106,7751,3072,7197,3299,22,31,6
2022-03-03T14:22:17+01:00,1127,72,4844,2133,3260,1506,9,9,3
2022-03-03T14:23:25+01:00,925,62,7169,943,1868,852,6,32,1
2022-03-03T14:24:20+01:00,2360,87,3813,3153,5513,2151,11,39,5
2022-03-03T14:25:32+01:00,1040,70,11319,2162,3202,1396,10,12,2
2022-03-03T14:26:25+01:00,2445,97,2776,3042,5487,2450,13,31,5
2022-03-03T14:27:46+01:00,1960,96,20005,4379,6339,4753,24,50,6
2022-03-03T14:28:30+01:00,2324,96,3125,3820,6144,4609,25,13,4
2022-03-03T14:29:35+01:00,1317,79,4066,2004,3321,1346,10,293,7
2022-03-03T14:30:39+01:00,1455,80,3416,2750,4205,1771,10,43,5
2022-03-03T14:31:32+01:00,11383,130,2607,2355,13738,1241,9,4,10
2022-03-03T14:32:35+01:00,2186,88,2459,4099,6285,565,4,43,6
2022-03-03T14:33:46+01:00,5050,91,9953,2297,7347,2863,15,31,6
2022-03-03T14:34:40+01:00,578,53,3347,317,895,247,4,35,3
2022-03-03T14:35:46+01:00,1843,90,15356,0,1843,1244,11,108,2
2022-03-03T14:36:42+01:00,901,63,4862,1293,2194,573,7,139,2
2022-03-03T14:37:36+01:00,1440,68,3060,1661,3101,1452,8,34,3
2022-03-03T14:38:41+01:00,2371,85,5033,2133,4504,2341,12,34,5
2022-03-03T14:39:38+01:00,2976,85,5416,2491,5467,1291,7,20,6
2022-03-03T14:40:43+01:00,2023,86,4609,1700,3723,2194,14,31,4
2022-03-03T14:41:39+01:00,2672,99,4869,2132,4804,2960,19,35,2
2022-03-03T14:42:45+01:00,6649,133,5342,5642,12291,3994,22,1471,86
2022-03-03T14:43:44+01:00,1942,91,8580,2058,4000,1653,15,18,3
2022-03-03T14:44:39+01:00,2542,98,3790,2402,4944,1958,12,22,4
2022-03-03T14:45:50+01:00,1029,81,10679,3749,4778,1658,12,17,4
2022-03-03T14:46:34+01:00,1843,82,3481,1288,3131,1373,9,110,5
2022-03-03T14:47:40+01:00,1443,71,4690,1739,3182,860,7,129,5
2022-03-03T14:48:43+01:00,1389,87,1973,1261,2650,964,11,13,1
2022-03-03T14:49:48+01:00,313,52,4345,353,666,298,4,20,0
2022-03-03T14:50:52+01:00,2831,90,2956,1678,4509,425,4,241,7
2022-03-03T14:51:45+01:00,3603,94,2768,4186,7789,2784,13,28,6
2022-03-03T14:52:50+01:00,734,60,3450,1677,2411,1111,8,36,3
2022-03-03T14:53:56+01:00,955,53,6216,1203,2158,1883,10,16,1
2022-03-03T14:54:51+01:00,3458,91,3546,3994,7452,2276,13,88,8
2022-03-03T14:55:54+01:00,1375,67,2837,632,2007,500,4,33,2
2022-03-03T14:56:48+01:00,2480,114,2640,2209,4689,1618,11,19,3
2022-03-03T14:57:52+01:00,1422,94,3475,3624,5046,1240,9,21,4
2022-03-03T14:58:59+01:00,1921,89,6104,3355,5276,3062,13,11,5
2022-03-03T15:00:05+01:00,1597,84,15665,0,1597,606,9,198,2
2022-03-03T15:01:03+01:00,1271,79,16876,5381,6652,1288,10,3,8
2022-03-03T15:01:59+01:00,1445,80,5247,3211,4656,1888,12,23,4
2022-03-03T15:02:56+01:00,2594,93,6178,1433,4027,1231,10,12,3
2022-03-03T15:04:01+01:00,2970,108,14818,0,2970,385,9,1164,17
2022-03-03T15:05:00+01:00,3047,93,7852,2220,5267,2129,13,14,5
2022-03-03T15:05:55+01:00,1936,98,4230,2824,4760,2556,15,100,6
2022-03-03T15:06:50+01:00,1062,66,4526,2295,3357,1724,8,7,2
2022-03-03T15:07:55+01:00,1660,80,3664,2286,3946,1245,10,35,3
2022-03-03T15:09:00+01:00,1537,68,4779,1502,3039,737,6,69,3
2022-03-03T15:09:53+01:00,2552,95,2162,1850,4402,1543,12,194,4
2022-03-03T15:10:58+01:00,4083,111,3473,2859,6942,3641,23,21,5
2022-03-03T15:12:02+01:00,1525,68,3162,1377,2902,1241,6,79,3
2022-03-03T15:13:10+01:00,2289,101,7218,4258,6547,4145,19,32,4
2022-03-03T15:14:24+01:00,1509,95,13806,1246,2755,1436,9,38,1
2022-03-03T15:15:19+01:00,3247,100,14529,0,3247,330,7,9,3
2022-03-03T15:16:04+01:00,1167,75,4169,2059,3226,2036,12,26,3
2022-03-03T15:17:09+01:00,1703,92,3860,2290,3993,1602,15,26,4
2022-03-03T15:18:07+01:00,2137,92,7406,2800,4937,1108,9,150,7
2022-03-03T15:19:12+01:00,1728,91,4190,3779,5507,1800,11,2,3
2022-03-03T15:20:09+01:00,1145,72,6134,1397,2542,934,7,8,3
2022-03-03T15:21:06+01:00,1857,99,6328,992,2849,1260,10,45,4
2022-03-03T15:22:11+01:00,798,71,3819,1149,1947,757,8,35,1
2022-03-03T15:23:14+01:00,1048,68,2747,729,1777,696,5,62,3
2022-03-03T15:24:10+01:00,5661,121,4726,5947,11608,4408,20,127,9
2022-03-03T15:25:19+01:00,2433,95,8687,5011,7444,2861,16,10,5
2022-03-03T15:26:10+01:00,1398,72,9872,1472,2870,895,7,45,5
2022-03-03T15:27:06+01:00,4123,134,5510,10817,14940,4787,22,21,11
2022-03-03T15:28:15+01:00,1056,67,7945,1325,2381,619,2,43,2
2022-03-03T15:29:12+01:00,2130,94,6088,1421,3551,907,8,203,7
2022-03-03T15:30:16+01:00,2219,93,3690,3458,5677,2259,12,24,4
2022-03-03T15:31:21+01:00,9059,133,13853,3963,13022,5190,35,25,9
2022-03-03T15:32:30+01:00,3055,99,18050,1376,4431,1037,8,91,2
2022-03-03T15:33:25+01:00,1509,72,14932,1806,3315,1580,9,15,4
2022-03-03T15:34:22+01:00,4625,126,6129,2865,7490,3796,20,43,7
2022-03-03T15:35:41+01:00,856,63,18078,603,1459,502,4,12,2
2022-03-03T15:36:28+01:00,4399,118,6591,2147,6546,1212,9,144,8
2022-03-03T15:37:22+01:00,1018,92,3122,1407,2425,1309,15,65,3
2022-03-03T15:38:32+01:00,1391,80,8046,2949,4340,589,6,16,4
2022-03-03T15:39:26+01:00,3560,102,3879,3356,6916,1314,10,196,6
2022-03-03T15:40:20+01:00,2559,105,3257,2064,4623,1430,14,62,4
2022-03-03T15:41:29+01:00,1974,92,7940,1998,3972,1189,8,214,7
2022-03-03T15:42:39+01:00,1284,117,19028,2332,3616,1496,30,17,2
2022-03-03T15:43:27+01:00,2078,86,7348,1800,3878,1261,7,113,2
2022-03-03T15:44:23+01:00,2395,93,5594,3141,5536,1796,11,134,5
2022-03-03T15:45:32+01:00,4968,101,8015,1565,6533,1343,11,85,5
2022-03-03T15:46:28+01:00,1544,81,5857,1543,3087,636,6,50,1
2022-03-03T15:47:27+01:00,965,65,7813,877,1842,639,5,53,2
2022-03-03T15:48:23+01:00,1756,92,4672,1148,2904,1100,9,81,3
2022-03-03T15:49:31+01:00,1696,92,7631,1322,3018,1050,10,29,3
2022-03-03T15:50:29+01:00,4907,118,7379,5103,10010,2531,22,1849,104
2022-03-03T15:51:36+01:00,4095,119,5309,3358,7453,1166,6,23,6
2022-03-03T15:52:32+01:00,975,68,5792,1482,2457,672,5,29,2
2022-03-03T15:53:37+01:00,2928,86,3783,3282,6210,1987,9,27,3
2022-03-03T15:54:51+01:00,888,67,13852,1660,2548,1917,11,11,2
2022-03-03T15:55:39+01:00,3726,128,7147,1627,5353,2022,29,43,3
2022-03-03T15:56:43+01:00,1066,69,13295,1154,2220,1091,8,88,2
2022-03-03T15:57:44+01:00,1579,79,9773,1474,3053,805,5,13,2
2022-03-03T15:58:43+01:00,4297,97,8339,5519,9816,1271,8,20,7
2022-03-03T15:59:42+01:00,3016,93,7826,3516,6532,1414,8,196,8
2022-03-03T16:00:58+01:00,931,68,15533,2241,3172,2106,11,49,2
2022-03-03T16:01:44+01:00,2101,90,5732,4480,6581,1589,8,103,7
2022-03-03T16:02:40+01:00,903,58,5194,331,1234,314,2,32,1
2022-03-03T16:03:39+01:00,1925,83,8088,1710,3635,469,5,20,2
2022-03-03T16:04:45+01:00,1750,81,5491,1868,3618,1219,7,68,3
2022-03-03T16:05:39+01:00,4216,94,2777,1558,5774,1427,9,42,5
2022-03-03T16:06:34+01:00,567,55,4769,1161,1728,1114,6,17,2
2022-03-03T16:08:06+01:00,2245,83,18810,3478,5723,1607,10,51,6
2022-03-03T16:08:51+01:00,1830,78,4933,1911,3741,1999,11,291,6
2022-03-03T16:09:47+01:00,1057,98,5172,1167,2224,953,16,64,3
2022-03-03T16:10:49+01:00,4323,101,10795,2117,6440,1967,12,21,4
2022-03-03T16:11:42+01:00,2667,97,3010,1024,3691,1518,9,10,3
2022-03-03T16:12:48+01:00,8919,121,5123,4851,13770,4102,19,245,12
2022-03-03T16:13:53+01:00,1681,68,3902,1351,3032,853,6,91,3
2022-03-03T16:14:56+01:00,6622,121,12119,4921,11543,4243,19,338,13
2022-03-03T16:15:55+01:00,6767,118,7648,1924,8691,2214,11,49,7
2022-03-03T16:16:48+01:00,602,70,2550,1435,2037,703,8,6,2
2022-03-03T16:17:50+01:00,737,63,1718,650,1387,981,6,38,0
2022-03-03T16:19:00+01:00,2607,93,8511,1623,4230,964,7,102,4
2022-03-03T16:19:55+01:00,2802,97,4193,5523,8325,1171,7,36,5
2022-03-03T16:20:49+01:00,875,67,3554,505,1380,484,2,32,1
2022-03-03T16:21:53+01:00,800,60,3246,1760,2560,1255,6,34,3
2022-03-03T16:22:49+01:00,805,69,5823,500,1305,491,5,25,2
2022-03-03T16:24:02+01:00,2598,83,11587,1311,3909,1500,8,33,2
2022-03-03T16:24:55+01:00,1502,77,12072,1848,3350,442,4,65,3
2022-03-03T16:25:55+01:00,1275,89,10032,0,1275,671,11,31,2
2022-03-03T16:26:56+01:00,3803,112,10046,0,3803,720,12,157,3
2022-03-03T16:27:57+01:00,3427,100,10051,0,3427,754,12,209,2
2022-03-03T16:29:08+01:00,6859,110,10038,0,6859,293,3,246,5
2022-03-03T16:30:09+01:00,4274,106,10044,0,4274,653,13,64,3
2022-03-03T16:31:11+01:00,2531,93,11039,0,2531,574,5,141,2
2022-03-03T16:32:14+01:00,6066,121,13083,0,6066,632,10,31,4
2022-03-03T16:33:22+01:00,4591,113,17082,0,4591,2292,16,40,3
2022-03-03T16:34:16+01:00,1731,91,13040,0,1731,608,7,10,1
2022-03-03T16:35:07+01:00,844,87,10044,0,844,190,7,119,1
2022-03-03T16:36:08+01:00,1614,82,10044,0,1614,564,7,47,1
2022-03-03T16:37:08+01:00,1664,99,10031,0,1664,556,16,245,2
2022-03-03T16:38:09+01:00,1260,66,10037,0,1260,367,5,57,2
2022-03-03T16:39:10+01:00,1580,86,10032,0,1580,387,6,48,2
2022-03-03T16:40:11+01:00,3341,105,10039,0,3341,1172,15,204,3
2022-03-03T16:41:12+01:00,1296,70,10029,0,1296,817,8,34,1
2022-03-03T16:42:13+01:00,20397,152,10222,0,20397,11200,39,73,13
2022-03-03T16:43:13+01:00,1366,65,10038,0,1366,580,5,24,1
2022-03-03T16:44:25+01:00,9269,180,10085,0,9269,1853,21,41,7
2022-03-03T16:45:22+01:00,1563,96,17048,0,1563,272,6,374,1
2022-03-03T16:46:23+01:00,1149,68,10035,0,1149,241,5,101,0
2022-03-03T16:47:24+01:00,3445,91,10052,0,3445,174,3,19,3
2022-03-03T16:48:27+01:00,2921,111,12471,5590,8511,3842,31,194,10
2022-03-03T16:49:36+01:00,1935,95,18131,8360,10295,916,7,90,9
2022-03-03T16:50:27+01:00,10411,127,10050,0,10411,921,7,53,8
2022-03-03T16:51:28+01:00,21995,170,10363,0,21995,506,7,118,13
2022-03-03T16:52:29+01:00,9432,131,10084,0,9432,1167,13,21,6
2022-03-03T16:53:30+01:00,2708,90,10069,0,2708,615,6,62,2
2022-03-03T16:54:31+01:00,1795,85,10053,0,1795,364,5,214,2
2022-03-03T16:55:22+01:00,2760,89,10035,0,2760,300,5,385,5
2022-03-03T16:56:23+01:00,4314,134,10103,0,4314,989,7,31,3
2022-03-03T16:57:24+01:00,3883,120,10051,0,3883,364,8,124,5
2022-03-03T16:58:24+01:00,553,68,10039,0,553,113,6,58,1
2022-03-03T16:59:35+01:00,1888,86,20263,0,1888,189,5,336,4
2022-03-03T17:00:28+01:00,3276,99,11916,2554,5830,1607,11,166,6
2022-03-03T17:01:30+01:00,2464,94,11135,3046,5510,1586,10,17,5
2022-03-03T17:02:27+01:00,2620,100,6551,7619,10239,1939,10,51,8
2022-03-03T17:03:31+01:00,6145,109,3237,2328,8473,3771,15,29,5
2022-03-03T17:04:36+01:00,1399,74,4392,1501,2900,1439,9,18,3
2022-03-03T17:05:34+01:00,1320,69,5396,1758,3078,493,6,49,4
2022-03-03T17:06:39+01:00,639,61,4541,1026,1665,833,5,33,1
2022-03-03T17:07:45+01:00,5386,121,4972,5366,10752,2517,12,30,7
2022-03-03T17:08:38+01:00,2879,103,2124,3074,5953,1997,19,273,10
2022-03-03T17:09:36+01:00,2802,89,7833,5483,8285,5235,24,59,6
2022-03-03T17:10:45+01:00,851,80,8111,1859,2710,1929,11,7,3
2022-03-03T17:11:42+01:00,2400,92,5997,1370,3770,1023,9,25,3
2022-03-03T17:12:37+01:00,2283,97,4143,2437,4720,2485,12,69,4
2022-03-03T17:13:42+01:00,4012,103,4530,3726,7738,3288,19,83,8
2022-03-03T17:14:38+01:00,906,69,5555,2751,3657,1554,9,16,3
2022-03-03T17:15:36+01:00,3512,94,7155,4283,7795,1375,8,21,6
2022-03-03T17:16:42+01:00,2994,93,5403,1007,4001,630,7,99,4
2022-03-03T17:17:49+01:00,2138,81,16228,0,2138,618,7,44,1
2022-03-03T17:18:35+01:00,2619,89,4724,3366,5985,2953,14,39,4
2022-03-03T17:19:42+01:00,2287,89,6629,4717,7004,895,8,167,8
2022-03-03T17:20:49+01:00,988,72,6202,1643,2631,579,5,11,2
2022-03-03T17:21:43+01:00,1793,72,3380,688,2481,642,4,17,1
2022-03-03T17:22:54+01:00,3868,105,9516,1406,5274,1288,9,12,3
2022-03-03T17:23:59+01:00,5172,114,4559,5458,10630,1602,9,84,9
2022-03-03T17:25:05+01:00,1440,85,15648,0,1440,222,5,35,1
2022-03-03T17:25:48+01:00,3297,92,1756,2983,6280,924,6,35,5
2022-03-03T17:26:57+01:00,2712,100,8166,4910,7622,2282,12,23,6
2022-03-03T17:27:58+01:00,1554,89,10204,1323,2877,922,7,66,3
2022-03-03T17:28:51+01:00,940,64,2298,1042,1982,900,6,37,1
2022-03-03T17:30:00+01:00,2413,88,8611,521,2934,379,4,20,2
2022-03-03T17:31:07+01:00,611,60,15702,0,611,158,5,18,0
2022-03-03T17:31:52+01:00,2277,89,4979,2211,4488,900,9,171,4
2022-03-03T17:32:46+01:00,2555,91,2976,4400,6955,5103,20,81,8
2022-03-03T17:33:51+01:00,1616,70,4224,866,2482,487,3,64,3
2022-03-03T17:34:57+01:00,3192,99,5762,3067,6259,2231,12,29,5
2022-03-03T17:35:56+01:00,3169,86,7757,1254,4423,606,5,58,4
2022-03-03T17:36:49+01:00,2091,89,2425,1473,3564,746,5,121,2
2022-03-03T17:37:56+01:00,1349,93,6202,3497,4846,1964,12,182,6
2022-03-03T17:39:04+01:00,1451,61,7422,1050,2501,644,4,7,1
2022-03-03T17:40:08+01:00,7337,123,12983,5202,12539,7290,40,25,10
2022-03-03T17:41:03+01:00,3062,95,4040,2155,5217,2207,9,153,3
2022-03-03T17:42:25+01:00,1142,68,20856,1262,2404,1547,9,34,3
2022-03-03T17:43:09+01:00,2129,80,3836,1382,3511,1028,6,167,6
2022-03-03T17:44:13+01:00,1948,92,3423,2052,4000,778,6,43,4
2022-03-03T17:45:12+01:00,1272,96,8240,4330,5602,719,11,38,3
2022-03-03T17:46:11+01:00,2815,98,7765,4968,7783,2470,13,59,7
2022-03-03T17:47:07+01:00,2733,90,5478,980,3713,666,6,54,5
2022-03-03T17:48:19+01:00,2019,86,10411,885,2904,1559,8,41,2
