ID,duration of routing servers update (in ms)
2022-04-05T17:55:45Z,4369
2022-04-05T18:00:45Z,4557
2022-04-05T18:05:45Z,4617
2022-04-05T18:10:45Z,4666
2022-04-05T18:15:45Z,4768
2022-04-05T18:20:45Z,4926
2022-04-05T18:25:46Z,5029
2022-04-05T18:30:46Z,5166
2022-04-05T18:35:46Z,5356
2022-04-05T18:40:46Z,5399
2022-04-05T18:45:46Z,5610
2022-04-05T18:50:46Z,5662
2022-04-05T18:55:46Z,5633
2022-04-05T19:00:46Z,5770
2022-04-05T19:05:46Z,5885
2022-04-05T19:10:46Z,5915
2022-04-05T19:15:47Z,5979
2022-04-05T19:20:47Z,6155
2022-04-05T19:25:47Z,6287
2022-04-05T19:30:47Z,6443
2022-04-05T19:35:47Z,6654
2022-04-05T19:40:47Z,6842
2022-04-05T19:45:47Z,6780
2022-04-05T19:50:47Z,6828
2022-04-05T19:55:47Z,6842
2022-04-05T20:00:48Z,7004
2022-04-05T20:05:48Z,7307
2022-04-05T20:10:48Z,7163
2022-04-05T20:15:49Z,8050
2022-04-05T20:20:48Z,7589
2022-04-05T20:25:48Z,7622
2022-04-05T20:30:48Z,7765
2022-04-05T20:35:48Z,7871
2022-04-05T20:40:48Z,7866
2022-04-05T20:45:49Z,8043
2022-04-05T20:50:48Z,7989
2022-04-05T20:55:49Z,8042
2022-04-05T21:00:49Z,8155
2022-04-05T21:05:49Z,8423
2022-04-05T21:10:49Z,8495
2022-04-05T21:15:49Z,8561
2022-04-05T21:20:49Z,8734
2022-04-05T21:25:49Z,8646
2022-04-05T21:30:49Z,8671
2022-04-05T21:35:49Z,8782
2022-04-05T21:40:49Z,8821
2022-04-05T21:45:49Z,8690
2022-04-05T21:50:50Z,9008
2022-04-05T21:55:50Z,9237
2022-04-05T22:00:50Z,9134
2022-04-05T22:05:50Z,9345
2022-04-05T22:10:50Z,9366
2022-04-05T22:15:50Z,9519
2022-04-05T22:20:50Z,9494
2022-04-05T22:25:50Z,9940
2022-04-05T22:30:51Z,10258
2022-04-05T22:35:51Z,10131
2022-04-05T22:40:51Z,10343
2022-04-05T22:45:51Z,10490
2022-04-05T22:50:51Z,10719
2022-04-05T22:55:51Z,10559
2022-04-05T23:01:05Z,24376
2022-04-05T23:05:51Z,10592
2022-04-05T23:10:51Z,10844
2022-04-05T23:15:51Z,10656
2022-04-05T23:20:51Z,10584
2022-04-05T23:25:51Z,10881
2022-04-05T23:30:51Z,10843
2022-04-05T23:35:51Z,10913
2022-04-05T23:40:52Z,11314
2022-04-05T23:45:52Z,11143
2022-04-05T23:50:52Z,11490
2022-04-05T23:55:52Z,11254
2022-04-06T00:00:52Z,11746
2022-04-06T00:05:52Z,11798
2022-04-06T00:10:52Z,11589
2022-04-06T00:15:52Z,11548
2022-04-06T00:20:52Z,11643
2022-04-06T00:25:52Z,11882
2022-04-06T00:30:52Z,11906
2022-04-06T00:35:53Z,12138
2022-04-06T00:40:52Z,11864
2022-04-06T00:45:53Z,12320
2022-04-06T00:50:53Z,12118
2022-04-06T00:55:53Z,12214
2022-04-06T01:00:53Z,12570
2022-04-06T01:05:53Z,12238
2022-04-06T01:10:53Z,12383
2022-04-06T01:15:54Z,13012
2022-04-06T01:20:53Z,12600
2022-04-06T01:25:54Z,13010
2022-04-06T01:30:53Z,12612
2022-04-06T01:35:53Z,12777
2022-04-06T01:40:53Z,12772
2022-04-06T01:45:53Z,12885
2022-04-06T01:50:54Z,13002
2022-04-06T01:55:54Z,13009
2022-04-06T02:00:54Z,13189
2022-04-06T02:05:54Z,13078
2022-04-06T02:10:54Z,13248
2022-04-06T02:15:54Z,13644
2022-04-06T02:20:54Z,13407
2022-04-06T02:25:54Z,13640
2022-04-06T02:30:54Z,13808
2022-04-06T02:35:54Z,13810
2022-04-06T02:40:54Z,13427
2022-04-06T02:45:54Z,13600
2022-04-06T02:50:54Z,13688
2022-04-06T02:55:54Z,13690
2022-04-06T03:00:54Z,13873
2022-04-06T03:05:54Z,13563
2022-04-06T03:10:54Z,13888
2022-04-06T03:15:55Z,14047
2022-04-06T03:20:54Z,13884
2022-04-06T03:25:55Z,14198
2022-04-06T03:30:55Z,14218
2022-04-06T03:35:55Z,14164
2022-04-06T03:40:55Z,14846
2022-04-06T03:45:55Z,14460
2022-04-06T03:50:56Z,15053
2022-04-06T03:55:55Z,14765
2022-04-06T04:00:55Z,14813
2022-04-06T04:05:55Z,14885
2022-04-06T04:10:55Z,14954
2022-04-06T04:15:56Z,15004
2022-04-06T04:20:55Z,14865
2022-04-06T04:25:56Z,15332
2022-04-06T04:30:56Z,15158
2022-04-06T04:35:56Z,15275
2022-04-06T04:40:56Z,15275
2022-04-06T04:45:56Z,15240
2022-04-06T04:50:56Z,15353
2022-04-06T04:55:56Z,15748
2022-04-06T05:00:57Z,16754
2022-04-06T05:05:57Z,16063
2022-04-06T05:10:57Z,16694
2022-04-06T05:15:57Z,16161
2022-04-06T05:20:57Z,16313
2022-04-06T05:25:57Z,16329
2022-04-06T05:30:57Z,16524
2022-04-06T05:35:57Z,16709
2022-04-06T05:40:57Z,16867
2022-04-06T05:45:57Z,16904
2022-04-06T05:50:58Z,17032
2022-04-06T05:55:58Z,17143
2022-04-06T06:00:58Z,17441
2022-04-06T06:06:48Z,67024
2022-04-06T06:10:58Z,17716
2022-04-06T06:15:58Z,17743
2022-04-06T06:20:59Z,18328
2022-04-06T06:26:01Z,20157
2022-04-06T06:31:02Z,21208
2022-04-06T06:36:02Z,21792
2022-04-06T06:41:02Z,21859
2022-04-06T06:46:02Z,21240
2022-04-06T06:51:02Z,21338
2022-04-06T06:56:02Z,21608
2022-04-06T07:01:02Z,21637
2022-04-06T07:06:02Z,21496
2022-04-06T07:11:02Z,21961
2022-04-06T07:16:03Z,22075
2022-04-06T07:21:03Z,22288
2022-04-06T07:26:03Z,22883
2022-04-06T07:31:03Z,22867
2022-04-06T07:36:04Z,23382
2022-04-06T07:41:04Z,23700
2022-04-06T07:46:05Z,24380
2022-04-06T07:51:05Z,24241
2022-04-06T07:56:05Z,24387
2022-04-06T08:01:06Z,25860
2022-04-06T08:06:06Z,25701
2022-04-06T08:11:05Z,24768
2022-04-06T08:16:05Z,24542
2022-04-06T08:21:06Z,25675
2022-04-06T08:26:03Z,22821
2022-04-06T08:31:03Z,22765
2022-04-06T08:36:04Z,23122
2022-04-06T08:41:03Z,22733
2022-04-06T08:46:03Z,22963
2022-04-06T08:51:04Z,23274
2022-04-06T08:56:04Z,23608
2022-04-06T09:01:05Z,24615
2022-04-06T09:06:05Z,24074
2022-04-06T09:11:05Z,24947
2022-04-06T09:16:06Z,25163
2022-04-06T09:21:05Z,24944
2022-04-06T09:26:05Z,24911
2022-04-06T09:31:05Z,24932
2022-04-06T09:36:06Z,25747
2022-04-06T09:41:06Z,25212
2022-04-06T09:46:05Z,24955
2022-04-06T09:51:05Z,24912
2022-04-06T09:56:06Z,25869
2022-04-06T10:01:06Z,25569
2022-04-06T10:06:06Z,25399
2022-04-06T10:11:06Z,25655
2022-04-06T10:16:07Z,26252
2022-04-06T10:21:07Z,26399
2022-04-06T10:26:07Z,26224
2022-04-06T10:31:07Z,26077
2022-04-06T10:36:08Z,26482
2022-04-06T10:41:08Z,27511
2022-04-06T10:46:08Z,27853
2022-04-06T10:51:08Z,27860
2022-04-06T10:56:08Z,27637
2022-04-06T11:01:08Z,27474
2022-04-06T11:06:08Z,27538
2022-04-06T11:11:08Z,27596
2022-04-06T11:16:09Z,28117
2022-04-06T11:21:08Z,27903
2022-04-06T11:26:08Z,27629
2022-04-06T11:31:08Z,27938
2022-04-06T11:36:10Z,29120
2022-04-06T11:41:09Z,28740
2022-04-06T11:46:10Z,29587
2022-04-06T11:51:09Z,28442
2022-04-06T11:56:10Z,29184
2022-04-06T12:01:10Z,29956
2022-04-06T12:06:11Z,30079
2022-04-06T12:11:11Z,30459
2022-04-06T12:16:11Z,29994
2022-04-06T12:21:11Z,30915
2022-04-06T12:26:10Z,29970
2022-04-06T12:32:08Z,87577
2022-04-06T12:36:11Z,30687
2022-04-06T12:41:12Z,31247
2022-04-06T12:46:12Z,31030
2022-04-06T12:51:11Z,30542
2022-04-06T12:56:12Z,31666
2022-04-06T13:01:12Z,31221
2022-04-06T13:06:12Z,31588
2022-04-06T13:11:12Z,31074
2022-04-06T13:16:12Z,31837
2022-04-06T13:21:12Z,31628
2022-04-06T13:26:13Z,32089
2022-04-06T13:31:14Z,33217
2022-04-06T13:36:14Z,33136
2022-04-06T13:41:13Z,32646
2022-04-06T13:46:13Z,32846
2022-04-06T13:51:13Z,32595
2022-04-06T13:56:13Z,32877
2022-04-06T14:01:14Z,33091
2022-04-06T14:06:14Z,33065
2022-04-06T14:11:14Z,33767
2022-04-06T14:16:14Z,33966
2022-04-06T14:21:14Z,33830
2022-04-06T14:26:15Z,34094
2022-04-06T14:31:14Z,33621
2022-04-06T14:36:15Z,34107
2022-04-06T14:41:14Z,33915
2022-04-06T14:46:15Z,34596
2022-04-06T14:51:15Z,34515
2022-04-06T14:56:16Z,34984
2022-04-06T15:01:15Z,34899
